Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2025-03-06 14:34:51.00,2025-03-06 14:34:51.00,1204.541656017303,53.366857,-1.506035,3.792655011829787,116.3218583194539,3,3930.291897045635,0.05381087163711589,1.347380846676015,235.3668701259955,238.0824279785156,237.6681213378906,10,195.568950375061,0
2025-03-06 14:35:00.00,2025-03-06 14:35:00.00,1213.541805028915,53.366937,-1.505929,3.504421075928497,115.3085982296616,3,3941.675559691588,0.1993842618029791,1.431337115886628,250.5110112986605,238.0824279785156,237.6681213378906,10,-21.48494297866709,0
2025-03-06 14:35:07.00,2025-03-06 14:35:07.00,1220.673390030861,53.367028,-1.505890,3.426159036159282,114.5158236166462,3,3952.126933418277,0.1509759313820728,1.51312994350276,250.5110709318979,238.0824279785156,237.6681213378906,10,-14.3595714911715,0
2025-03-06 14:35:16.00,2025-03-06 14:35:16.00,1229.54009604454,53.367126,-1.505843,3.530426175282652,114.1664645895362,3.119263747074155,3963.478503293097,0.9838877266736538,1.54674503493994,7.001974088340749,353.2966003417969,352.8822937011719,11.45502185821533,-13.5717855150621,0
2025-03-06 14:35:24.00,2025-03-06 14:35:24.00,1237.542487025261,53.367220,-1.505783,3.416730074006986,113.0292326649651,3.034019308278233,3974.709030261007,1.556759264793018,1.378841430061271,17.17159244485909,353.2966003417969,352.8822937011719,11.45502185821533,-23.90150242349394,0
2025-03-06 14:35:31.00,2025-03-06 14:35:31.00,1244.542680025101,53.367322,-1.505752,3.470970980271411,114.6620400827378,3.474507512211717,3986.169081967533,1.593613064099361,1.681726606634565,10.89299576096329,353.2966003417969,352.8822937011719,11.45502185821533,340.8951805377167,0
2025-03-06 14:35:39.00,2025-03-06 14:35:39.00,1252.542960047722,53.367412,-1.505700,4.1120944753093,114.4994214018807,3.973340517420822,3996.752050557256,1.479458926059143,1.453391741050966,12.79928070473179,353.2966003417969,352.8822937011719,11.45502185821533,-145.2142620990766,0
2025-03-06 14:35:47.00,2025-03-06 14:35:47.00,1260.54320704937,53.367505,-1.505649,4.596598930819463,113.1280502164736,4.040330833546235,4007.674149353896,1.572825290324348,1.455857313509021,20.74661717757602,353.2966003417969,352.8822937011719,11.45502185821533,-26.62183791855164,0
2025-03-06 14:35:56.00,2025-03-06 14:35:56.00,1269.539306044579,53.367598,-1.505615,4.728582268370189,112.2346659377217,3.433897310427622,4018.310714110428,1.256405527576554,1.167182265884991,13.66355757415321,353.2966003417969,352.8822937011719,11.45502185821533,-14.02934911002558,0
2025-03-06 14:36:06.00,2025-03-06 14:36:06.00,1279.540085077286,53.367694,-1.505591,4.400255931210298,111.3026260444894,3,4029.087105981374,1.532371993391908,1.358575846802741,17.32173283794365,358.7091064453125,358.2947998046875,11.21841239929199,-9.969897396798004,0
2025-03-06 14:36:15.00,2025-03-06 14:36:15.00,1288.543312072754,53.367778,-1.505509,4.058302930463948,109.8203816795722,3.156707139947741,4039.949351751613,1.532449821840137,0.9984643913077657,23.29683014863409,358.7091064453125,358.2947998046875,11.21841239929199,-13.43403399881356,0
2025-03-06 14:36:23.00,2025-03-06 14:36:23.00,1296.542901039124,53.367868,-1.505484,3.783172050549088,108.3829581430182,3,4050.110397589871,1.167862340180179,1.289944123789235,20.02050796273971,358.7091064453125,358.2947998046875,11.21841239929199,-10.43573664951805,0
